block,jobid,task,group,dataset,method,variant,recall@10,ndcg@10,recall@20,ndcg@20,recall@50,ndcg@50,file,command
block_lightgcn,23662115,4,LightGCN,Office--Products,LightGCN,baseline,0.0745,0.0365,0.1255,0.0493,0.2236,0.0686,/home/scur1242/RecSysGroup3/logsfinal/block_lightgcn-23662115_4.err,
block_lightgcn,23662115,5,LightGCN,Office--Products,+LLMInit--Rand,rand,0.038,0.0186,0.0693,0.0265,0.1436,0.041,/home/scur1242/RecSysGroup3/logsfinal/block_lightgcn-23662115_5.err,
block_lightgcn,23662115,6,LightGCN,Office--Products,+LLMInit--Uni,uni,0.0764,0.0375,0.1255,0.0498,0.2337,0.0712,/home/scur1242/RecSysGroup3/logsfinal/block_lightgcn-23662115_6.err,
block_lightgcn,23662115,7,LightGCN,Office--Products,+LLMInit--Var,var,0.0761,0.0381,0.1276,0.051,0.2399,0.0731,/home/scur1242/RecSysGroup3/logsfinal/block_lightgcn-23662115_7.err,
block_lightgcn,23662115,0,LightGCN,Tools--Home,LightGCN,baseline,0.0574,0.0298,0.0857,0.0369,0.1413,0.0479,/home/scur1242/RecSysGroup3/logsfinal/block_lightgcn-23662115_0.err,
block_lightgcn,23662115,1,LightGCN,Tools--Home,+LLMInit--Rand,rand,0.0623,0.0314,0.0944,0.0395,0.1568,0.0518,/home/scur1242/RecSysGroup3/logsfinal/block_lightgcn-23662115_1.err,
block_lightgcn,23662115,2,LightGCN,Tools--Home,+LLMInit--Uni,uni,0.063,0.0322,0.0953,0.0404,0.1594,0.053,/home/scur1242/RecSysGroup3/logsfinal/block_lightgcn-23662115_2.err,
block_lightgcn,23662115,3,LightGCN,Tools--Home,+LLMInit--Var,var,0.063,0.0317,0.095,0.0397,0.1611,0.0527,/home/scur1242/RecSysGroup3/logsfinal/block_lightgcn-23662115_3.err,
block_sgcl,23662130,4,SGCL,Office--Products,SGCL,baseline,0.05,0.0194,0.0988,0.0316,0.1893,0.0495,/home/scur1242/RecSysGroup3/logsfinal/block_sgcl-23662130_4.err,
block_sgcl,23662130,5,SGCL,Office--Products,+LLMInit--Rand,rand,0.0779,0.0404,0.1273,0.0528,0.2347,0.0739,/home/scur1242/RecSysGroup3/logsfinal/block_sgcl-23662130_5.err,
block_sgcl,23662130,6,SGCL,Office--Products,+LLMInit--Uni,uni,0.0755,0.0389,0.1307,0.0528,0.2365,0.0736,/home/scur1242/RecSysGroup3/logsfinal/block_sgcl-23662130_6.err,
block_sgcl,23662130,7,SGCL,Office--Products,+LLMInit--Var,var,0.0801,0.0407,0.1331,0.0539,0.2356,0.0741,/home/scur1242/RecSysGroup3/logsfinal/block_sgcl-23662130_7.err,
block_sgcl,23662130,0,SGCL,Tools--Home,SGCL,baseline,0.0521,0.0216,0.0863,0.0303,0.1419,0.0413,/home/scur1242/RecSysGroup3/logsfinal/block_sgcl-23662130_0.err,
block_sgcl,23662130,1,SGCL,Tools--Home,+LLMInit--Rand,rand,0.067,0.0347,0.1006,0.0432,0.1657,0.0561,/home/scur1242/RecSysGroup3/logsfinal/block_sgcl-23662130_1.err,
block_sgcl,23662130,2,SGCL,Tools--Home,+LLMInit--Uni,uni,0.0673,0.0338,0.1018,0.0424,0.1684,0.0556,/home/scur1242/RecSysGroup3/logsfinal/block_sgcl-23662130_2.err,
block_sgcl,23662130,3,SGCL,Tools--Home,+LLMInit--Var,var,0.0664,0.0343,0.1004,0.0428,0.1654,0.0557,/home/scur1242/RecSysGroup3/logsfinal/block_sgcl-23662130_3.err,
block_sgl,23662047,4,SGL,Office--Products,SGL,baseline,0.0635,0.0252,0.1169,0.0387,0.211,0.0573,/home/scur1242/RecSysGroup3/logsfinal/block_sgl-23662047_4.err,
block_sgl,23662047,5,SGL,Office--Products,+LLMInit--Rand,rand,0.0782,0.0403,0.1294,0.0532,0.2325,0.0734,/home/scur1242/RecSysGroup3/logsfinal/block_sgl-23662047_5.err,
block_sgl,23662047,6,SGL,Office--Products,+LLMInit--Uni,uni,0.0813,0.0407,0.1273,0.0523,0.2285,0.0721,/home/scur1242/RecSysGroup3/logsfinal/block_sgl-23662047_6.err,
block_sgl,23662047,7,SGL,Office--Products,+LLMInit--Var,var,0.0791,0.0394,0.1316,0.0526,0.2426,0.0743,/home/scur1242/RecSysGroup3/logsfinal/block_sgl-23662047_7.err,
block_sgl,23662047,0,SGL,Tools--Home,SGL,baseline,0.054,0.0238,0.0839,0.0314,0.1427,0.0431,/home/scur1242/RecSysGroup3/logsfinal/block_sgl-23662047_0.err,
block_sgl,23662047,1,SGL,Tools--Home,+LLMInit--Rand,rand,0.0605,0.0303,0.0942,0.0388,0.1537,0.0506,/home/scur1242/RecSysGroup3/logsfinal/block_sgl-23662047_1.err,
block_sgl,23662047,2,SGL,Tools--Home,+LLMInit--Uni,uni,0.06,0.0309,0.093,0.0392,0.1526,0.051,/home/scur1242/RecSysGroup3/logsfinal/block_sgl-23662047_2.err,
block_sgl,23662047,3,SGL,Tools--Home,+LLMInit--Var,var,0.0623,0.031,0.0943,0.0391,0.161,0.0522,/home/scur1242/RecSysGroup3/logsfinal/block_sgl-23662047_3.err,
